ImageID,Date,Location,Dummy
0,75,20,0
1,305,11,0
2,23,5,0
3,302,13,0
4,289,9,0
5,212,10,0
6,81,17,0
7,267,11,0
8,4,13,0
9,358,20,0
10,188,18,0
11,242,11,0
12,348,16,0
13,269,7,0
14,128,7,0
15,205,4,0
16,229,3,0
17,110,3,0
18,240,7,0
19,17,20,0
20,257,17,0
21,89,1,0
22,78,10,0
23,324,1,0
24,119,5,0
25,325,18,0
26,185,17,0
27,223,9,0
28,155,19,0
29,68,15,0
30,198,15,0
31,350,10,0
32,261,18,0
33,72,15,0
34,170,13,0
35,249,6,0
36,90,10,0
37,117,11,0
38,82,8,0
39,218,1,0
40,43,9,0
41,34,13,0
42,295,11,0
43,186,17,0
44,48,10,0
45,285,15,0
46,92,9,0
47,206,9,0
48,361,4,0
49,326,7,0
50,338,15,0
51,243,18,0
52,131,3,0
53,343,14,0
54,262,14,0
55,187,11,0
56,27,7,0
57,269,20,0
58,198,5,0
59,133,11,0
60,208,10,0
61,286,1,0
62,180,9,0
63,168,6,0
64,252,13,0
65,67,5,0
66,212,5,0
67,236,15,0
68,70,10,0
69,317,18,0
70,201,2,0
71,353,11,0
72,51,19,0
73,19,1,0
74,46,18,0
75,43,13,0
76,177,2,0
77,349,14,0
78,1,5,0
79,154,16,0
80,255,19,0
81,263,17,0
82,144,5,0
83,106,18,0
84,40,19,0
85,229,3,0
86,31,19,0
87,77,10,0
88,144,5,0
89,28,4,0
90,117,3,0
91,83,9,0
92,58,4,0
93,141,15,0
94,52,1,0
95,33,13,0
96,137,13,0
97,12,1,0
98,11,3,0
99,276,3,0
100,271,18,0
101,142,7,0
102,98,10,0
103,72,5,0
104,112,11,0
105,350,3,0
106,340,11,0
107,359,20,0
108,23,8,0
109,5,5,0
110,242,10,0
111,313,10,0
112,256,15,0
113,126,2,0
114,128,4,0
115,309,8,0
116,80,9,0
117,150,15,0
118,14,17,0
119,54,10,0
120,92,6,0
121,294,10,0
122,134,3,0
123,125,6,0
124,77,8,0
125,268,16,0
126,308,11,0
127,244,11,0
128,130,6,0
129,135,11,0
130,218,11,0
131,23,10,0
132,230,16,0
133,113,3,0
134,306,11,0
135,283,4,0
136,95,5,0
137,160,15,0
138,32,15,0
139,175,13,0
140,318,7,0
141,175,2,0
142,191,19,0
143,331,20,0
144,5,2,0
145,301,12,0
146,317,6,0
147,359,17,0
148,272,10,0
149,13,7,0
150,46,1,0
151,267,1,0
152,34,7,0
153,171,3,0
154,304,3,0
155,86,6,0
156,41,11,0
157,254,4,0
158,227,1,0
159,253,10,0
160,202,12,0
161,340,5,0
162,343,7,0
163,180,11,0
164,129,20,0
165,97,20,0
166,2,18,0
167,221,15,0
168,245,5,0
169,330,3,0
170,206,5,0
171,351,4,0
172,115,14,0
173,188,18,0
174,182,1,0
175,190,17,0
176,158,16,0
177,159,20,0
178,142,19,0
179,329,11,0
180,66,13,0
181,271,11,0
182,103,18,0
183,216,3,0
184,329,10,0
185,209,20,0
186,98,16,0
187,265,3,0
188,285,11,0
189,92,2,0
190,32,6,0
191,277,13,0
192,363,6,0
193,48,19,0
194,60,19,0
195,264,1,0
196,16,5,0
197,107,19,0
198,297,2,0
199,323,19,0
200,81,14,0
201,299,5,0
202,125,4,0
203,89,20,0
204,155,19,0
205,14,20,0
206,277,10,0
207,138,2,0
208,204,20,0
209,319,17,0
210,106,14,0
211,275,6,0
212,61,2,0
213,219,16,0
214,300,9,0
215,5,10,0
216,289,7,0
217,315,13,0
218,287,10,0
219,187,8,0
220,343,11,0
221,260,5,0
222,152,6,0
223,200,13,0
224,359,15,0
225,103,1,0
226,68,11,0
227,34,3,0
228,29,1,0
229,333,9,0
230,153,6,0
231,16,5,0
232,346,11,0
233,299,17,0
234,307,10,0
235,106,19,0
236,154,6,0
237,363,1,0
238,362,18,0
239,293,18,0
240,246,17,0
241,50,15,0
242,343,4,0
243,332,18,0
244,12,9,0
245,331,12,0
246,205,12,0
247,340,16,0
248,131,17,0
249,358,11,0
250,208,12,0
251,16,4,0
252,121,17,0
253,126,19,0
254,329,12,0
255,93,8,0
256,292,13,0
257,201,13,0
258,161,10,0
259,307,10,0
260,333,20,0
261,363,18,0
262,48,12,0
263,283,10,0
264,189,12,0
265,236,5,0
266,73,18,0
267,27,7,0
268,92,16,0
269,151,9,0
270,191,20,0
271,59,19,0
272,180,12,0
273,274,11,0
274,57,15,0
275,357,7,0
276,209,17,0
277,122,8,0
278,360,14,0
279,165,5,0
280,151,9,0
281,125,5,0
282,213,2,0
283,2,15,0
284,235,2,0
285,216,16,0
286,123,4,0
287,170,9,0
288,280,18,0
289,2,1,0
290,189,17,0
291,176,12,0
292,333,5,0
293,327,10,0
294,276,11,0
295,158,4,0
296,31,6,0
297,253,4,0
298,315,9,0
299,184,13,0
300,233,8,0
301,172,15,0
302,291,15,0
303,361,19,0
304,350,3,0
305,127,8,0
306,282,20,0
307,60,8,0
308,136,1,0
309,198,14,0
310,28,13,0
311,171,5,0
312,104,5,0
313,285,19,0
314,214,7,0
315,157,11,0
316,14,13,0
317,184,10,0
318,294,14,0
319,354,15,0
320,49,13,0
321,243,19,0
322,203,11,0
323,53,16,0
324,246,9,0
325,15,10,0
326,293,19,0
327,82,4,0
328,195,12,0
329,110,10,0
330,230,14,0
331,247,17,0
332,162,11,0
333,175,13,0
334,199,5,0
335,228,5,0
336,251,5,0
337,316,8,0
338,137,19,0
339,212,5,0
340,48,16,0
341,21,11,0
342,274,3,0
343,103,11,0
344,5,14,0
345,220,7,0
346,239,18,0
347,119,16,0
348,46,19,0
349,217,13,0
350,72,9,0
351,89,16,0
352,194,7,0
353,332,14,0
354,98,17,0
355,63,19,0
356,355,5,0
357,351,14,0
358,138,17,0
359,222,2,0
360,155,11,0
361,160,15,0
362,125,16,0
363,205,3,0
364,180,9,0
365,70,7,0
366,282,8,0
367,166,16,0
368,60,19,0
369,285,17,0
370,2,10,0
371,21,8,0
372,320,17,0
373,42,14,0
374,107,14,0
375,248,5,0
376,45,5,0
377,195,17,0
378,323,9,0
379,337,6,0
380,233,4,0
381,358,15,0
382,125,14,0
383,183,9,0
384,50,6,0
385,126,15,0
386,253,7,0
387,319,6,0
388,92,6,0
389,172,8,0
390,31,5,0
391,63,1,0
392,12,18,0
393,171,8,0
394,218,10,0
395,165,2,0
396,251,2,0
397,199,11,0
398,42,3,0
399,352,8,0
400,253,17,0
401,184,20,0
402,280,13,0
403,291,1,0
404,98,20,0
405,254,14,0
406,340,7,0
407,274,12,0
408,27,10,0
409,183,6,0
410,238,18,0
411,79,15,0
412,347,15,0
413,11,9,0
414,298,17,0
415,311,4,0
416,144,17,0
417,13,13,0
418,159,10,0
419,323,12,0
420,347,11,0
421,44,15,0
422,272,12,0
423,274,7,0
424,205,2,0
425,286,4,0
426,263,9,0
427,89,17,0
428,278,6,0
429,335,1,0
430,251,1,0
431,75,17,0
432,318,2,0
433,61,15,0
434,60,15,0
435,101,20,0
436,260,4,0
437,209,6,0
438,249,1,0
439,247,10,0
440,202,3,0
441,88,3,0
442,315,14,0
443,151,12,0
444,197,9,0
445,347,17,0
446,85,3,0
447,80,6,0
448,314,14,0
449,86,1,0
450,194,6,0
451,138,8,0
452,177,8,0
453,305,9,0
454,341,6,0
455,12,16,0
456,29,10,0
457,257,12,0
458,173,11,0
459,314,5,0
460,232,8,0
461,32,13,0
462,270,16,0
463,301,20,0
464,198,20,0
465,62,3,0
466,159,6,0
467,300,13,0
468,247,13,0
469,17,13,0
470,56,6,0
471,126,12,0
472,126,6,0
473,39,18,0
474,195,18,0
475,195,6,0
476,352,18,0
477,290,8,0
478,94,15,0
479,139,14,0
480,1,1,0
481,230,1,0
482,28,18,0
483,131,2,0
484,318,12,0
485,338,12,0
486,322,2,0
487,13,16,0
488,54,16,0
489,21,6,0
490,54,16,0
491,60,14,0
492,213,15,0
493,333,12,0
494,302,6,0
495,46,19,0
496,196,4,0
497,296,6,0
498,209,3,0
499,194,19,0
500,254,16,0
501,360,1,0
502,34,18,0
503,51,12,0
504,137,20,0
505,191,11,0
506,55,14,0
507,202,5,0
508,197,20,0
509,148,11,0
510,311,12,0
511,87,15,0
512,283,13,0
513,259,7,0
514,228,6,0
515,69,17,0
516,43,1,0
517,218,9,0
518,123,10,0
519,202,18,0
520,196,5,0
521,217,12,0
522,34,8,0
523,124,3,0
524,249,17,0
525,320,11,0
526,215,6,0
527,147,1,0
528,308,5,0
529,236,7,0
530,274,3,0
531,58,18,0
532,35,16,0
533,11,18,0
534,186,11,0
535,23,16,0
536,195,6,0
537,98,18,0
538,199,7,0
539,85,20,0
540,275,8,0
541,204,19,0
542,94,18,0
543,46,20,0
544,116,1,0
545,95,2,0
546,304,10,0
547,142,9,0
548,160,17,0
549,120,9,0
550,56,18,0
551,24,5,0
552,20,17,0
553,121,7,0
554,213,5,0
555,227,16,0
556,85,14,0
557,23,3,0
558,174,20,0
559,312,12,0
560,173,18,0
561,134,11,0
562,108,19,0
563,78,10,0
564,266,8,0
565,324,14,0
566,135,8,0
567,181,15,0
568,13,6,0
569,281,3,0
570,364,12,0
571,199,4,0
572,322,12,0
573,76,8,0
574,263,13,0
575,182,5,0
576,276,3,0
577,158,14,0
578,260,17,0
579,87,6,0
580,112,8,0
581,363,19,0
582,72,9,0
583,42,17,0
584,3,17,0
585,6,17,0
586,19,19,0
587,180,14,0
588,244,17,0
589,318,15,0
590,26,11,0
