ImageID,Date,Location
0,75,20
1,305,11
2,23,5
3,302,13
4,289,9
5,212,10
6,81,17
7,267,11
8,4,13
9,358,20
10,188,18
11,242,11
12,348,16
13,269,7
14,128,7
15,205,4
16,229,3
17,110,3
18,240,7
19,17,20
20,257,17
21,89,1
22,78,10
23,324,1
24,119,5
25,325,18
26,185,17
27,223,9
28,155,19
29,68,15
30,198,15
31,350,10
32,261,18
33,72,15
34,170,13
35,249,6
36,90,10
37,117,11
38,82,8
39,218,1
40,43,9
41,34,13
42,295,11
43,186,17
44,48,10
45,285,15
46,92,9
47,206,9
48,361,4
49,326,7
50,338,15
51,243,18
52,131,3
53,343,14
54,262,14
55,187,11
56,27,7
57,269,20
58,198,5
59,133,11
60,208,10
61,286,1
62,180,9
63,168,6
64,252,13
65,67,5
66,212,5
67,236,15
68,70,10
69,317,18
70,201,2
71,353,11
72,51,19
73,19,1
74,46,18
75,43,13
76,177,2
77,349,14
78,1,5
79,154,16
80,255,19
81,263,17
82,144,5
83,106,18
84,40,19
85,229,3
86,31,19
87,77,10
88,144,5
89,28,4
90,117,3
91,83,9
92,58,4
93,141,15
94,52,1
95,33,13
96,137,13
97,12,1
98,11,3
99,276,3
100,271,18
101,142,7
102,98,10
103,72,5
104,112,11
105,350,3
106,340,11
107,359,20
108,23,8
109,5,5
110,242,10
111,313,10
112,256,15
113,126,2
114,128,4
115,309,8
116,80,9
117,150,15
118,14,17
119,54,10
120,92,6
121,294,10
122,134,3
123,125,6
124,77,8
125,268,16
126,308,11
127,244,11
128,130,6
129,135,11
130,218,11
131,23,10
132,230,16
133,113,3
134,306,11
135,283,4
136,95,5
137,160,15
138,32,15
139,175,13
140,318,7
141,175,2
142,191,19
143,331,20
144,5,2
145,301,12
146,317,6
147,359,17
148,272,10
149,13,7
150,46,1
151,267,1
152,34,7
153,171,3
154,304,3
155,86,6
156,41,11
157,254,4
158,227,1
159,253,10
160,202,12
161,340,5
162,343,7
163,180,11
164,129,20
165,97,20
166,2,18
167,221,15
168,245,5
169,330,3
170,206,5
171,351,4
172,115,14
173,188,18
174,182,1
175,190,17
176,158,16
177,159,20
178,142,19
179,329,11
180,66,13
181,271,11
182,103,18
183,216,3
184,329,10
185,209,20
186,98,16
187,265,3
188,285,11
189,92,2
190,32,6
191,277,13
192,363,6
193,48,19
194,60,19
195,264,1
196,16,5
197,107,19
198,297,2
199,323,19
200,81,14
201,299,5
202,125,4
203,89,20
204,155,19
205,14,20
206,277,10
207,138,2
208,204,20
209,319,17
210,106,14
211,275,6
212,61,2
213,219,16
214,300,9
215,5,10
216,289,7
217,315,13
218,287,10
219,187,8
220,343,11
221,260,5
222,152,6
223,200,13
224,359,15
225,103,1
226,68,11
227,34,3
228,29,1
229,333,9
230,153,6
231,16,5
232,346,11
233,299,17
234,307,10
235,106,19
236,154,6
237,363,1
238,362,18
239,293,18
240,246,17
241,50,15
242,343,4
243,332,18
244,12,9
245,331,12
246,205,12
247,340,16
248,131,17
249,358,11
250,208,12
251,16,4
252,121,17
253,126,19
254,329,12
255,93,8
256,292,13
257,201,13
258,161,10
259,307,10
260,333,20
261,363,18
262,48,12
263,283,10
264,189,12
265,236,5
266,73,18
267,27,7
268,92,16
269,151,9
270,191,20
271,59,19
272,180,12
273,274,11
274,57,15
275,357,7
276,209,17
277,122,8
278,360,14
279,165,5
280,151,9
281,125,5
282,213,2
283,2,15
284,235,2
285,216,16
286,123,4
287,170,9
288,280,18
289,2,1
290,189,17
291,176,12
292,333,5
293,327,10
294,276,11
295,158,4
296,31,6
297,253,4
298,315,9
299,184,13
300,233,8
301,172,15
302,291,15
303,361,19
304,350,3
305,127,8
306,282,20
307,60,8
308,136,1
309,198,14
310,28,13
311,171,5
312,104,5
313,285,19
314,214,7
315,157,11
316,14,13
317,184,10
318,294,14
319,354,15
320,49,13
321,243,19
322,203,11
323,53,16
324,246,9
325,15,10
326,293,19
327,82,4
328,195,12
329,110,10
330,230,14
331,247,17
332,162,11
333,175,13
334,199,5
335,228,5
336,251,5
337,316,8
338,137,19
339,212,5
340,48,16
341,21,11
342,274,3
343,103,11
344,5,14
345,220,7
346,239,18
347,119,16
348,46,19
349,217,13
350,72,9
351,89,16
352,194,7
353,332,14
354,98,17
355,63,19
356,355,5
357,351,14
358,138,17
359,222,2
360,155,11
361,160,15
362,125,16
363,205,3
364,180,9
365,70,7
366,282,8
367,166,16
368,60,19
369,285,17
370,2,10
371,21,8
372,320,17
373,42,14
374,107,14
375,248,5
376,45,5
377,195,17
378,323,9
379,337,6
380,233,4
381,358,15
382,125,14
383,183,9
384,50,6
385,126,15
386,253,7
387,319,6
388,92,6
389,172,8
390,31,5
391,63,1
392,12,18
393,171,8
394,218,10
395,165,2
396,251,2
397,199,11
398,42,3
399,352,8
400,253,17
401,184,20
402,280,13
403,291,1
404,98,20
405,254,14
406,340,7
407,274,12
408,27,10
409,183,6
410,238,18
411,79,15
412,347,15
413,11,9
414,298,17
415,311,4
416,144,17
417,13,13
418,159,10
419,323,12
420,347,11
421,44,15
422,272,12
423,274,7
424,205,2
425,286,4
426,263,9
